Z,X,Y
1,0,0.056583906
1,1,1.3875186761487424
0,1,4.289658259425935
0,1,0.7430033495018493
0,1,2.718527109586538
0,0,1.7071687340602681
0,0,-1.102945552
0,1,1.6386998551499212
1,1,0.97505942
0,0,-2.070197416
1,0,-0.459961624
0,1,-0.463551266
0,1,0.6412292427338754
1,1,4.411826326173073
1,0,1.8183875195287573
0,0,0.8185208832542415
0,1,2.0652141795014787
0,0,0.3491868336381204
1,1,-0.725354902
1,0,2.2298005411165387
0,0,-2.718550276
1,1,-1.421026708
1,1,1.417505038697335
1,0,3.798677601799781
1,1,-1.044210728
0,1,-1.379264076
0,0,2.114287145936252
1,1,2.0673384519039426
1,1,1.3556271380725455
1,0,0.7347617846439034
0,1,0.465663512
0,1,0.13619071849362308
0,0,-1.576615802
1,1,2.1206051774917887
1,1,-2.562714734
1,1,4.3414044287772064
1,0,2.8530402105396306
0,1,1.4915367980184755
0,0,-0.675453242
1,1,0.9892648580117982
0,1,1.5097288446773534
0,0,4.3874389812069206
0,1,0.20858473434416278
0,0,2.6775035686265545
1,1,-2.225036521
0,0,-1.570875873
1,1,0.2714698850947257
1,0,-4.962380559
0,0,-0.687135923
1,1,-0.084004332
1,0,-1.074729014
1,1,1.4023651061625197
0,1,-1.962702807
1,0,2.401257397113264
0,0,4.461221205346218
1,1,-0.530099096
1,1,0.9300172168516055
0,1,3.597105334155554
1,0,1.6399427538127136
0,1,-1.10386825
0,1,1.5250679161441192
0,0,0.7701458881652209
1,0,1.3022559831022626
0,1,1.4686421948701507
1,0,2.5580005
1,1,-0.49425227
1,1,-0.799327571
0,1,0.39758975701300403
1,0,1.6442146136945754
0,1,0.8083017431574084
1,0,4.816062108743714
0,0,-2.753301903
1,1,0.42031148867201595
1,0,-1.08864243
0,0,4.060953190418651
1,1,0.048993209
0,1,0.3948927309797385
1,1,-0.067986917
0,1,4.0034694127935255
1,1,1.2506519436509906
1,0,3.676892013189545
1,0,0.1562906334277523
0,0,-3.066484694
0,1,-0.838635797
1,0,-0.048823302
1,1,-1.114413998
0,1,-1.450673062
0,0,-2.693252849
1,1,1.3926645266676938
0,0,0.2721521157679013
1,1,4.433173351777379
0,0,-4.014374636
1,1,1.3635347404536837
0,1,1.1010693088322272
1,1,0.21332416832257617
0,0,3.796691746365335
0,1,-2.630404684
0,1,3.498932738
1,1,0.6213109795745106
0,0,3.945584068550141
0,1,-3.842226165
0,0,0.47351913766288123
0,1,-0.686183843
1,1,-4.479494468
0,1,2.1758287587170964
1,0,-1.483192379
1,1,0.6733975673856661
0,0,-1.384370424
0,1,-1.033296441
1,0,1.8474393819466473
0,0,3.0213680986255085
1,1,-2.655855706
0,0,-1.129080234
1,1,2.7533238117303602
0,0,-0.041203463
1,1,-0.063914125
1,0,3.5658428824057617
0,1,-0.611296721
0,0,-3.556155703
0,0,3.9208466835505353
0,0,-1.088362764
0,1,0.26904105386887445
1,0,3.7606763609935916
0,1,-0.70519027
0,1,-0.637113977
0,1,1.642338173969431
1,1,0.47745645519781205
1,1,0.17675025199233163
1,1,2.5624778385654845
0,0,-1.935519544
1,1,2.447163392985994
1,1,3.659852485227238
0,0,-2.219547916
0,0,1.646588348523558
1,1,2.286565219505913
0,1,-0.268118545
0,0,-2.212775033
0,1,4.108449747109086
1,1,-0.694259371
1,1,0.37731023075050507
1,1,2.081140617730047
0,1,0.5865886292946688
0,1,-6.454711905
0,1,3.7027330873446545
0,1,0.3438546862469123
1,1,0.30090862902337934
1,1,0.7505811627008449
0,1,0.707348166
0,1,1.6240798558821645
0,1,2.2445018325690937
1,1,1.3082189451695097
0,1,5.4196212498637095
0,0,2.210812087924538
1,1,-3.696320745
0,1,1.8812944307846942
1,1,-0.197966655
1,1,-4.037684715
0,1,-0.878327945
1,1,1.1411542461712427
1,1,2.1161343813474964
0,1,1.4758963664903089
1,1,-5.66589303
0,0,-0.626286657
1,0,0.10031310165681984
0,0,5.0027289010620155
1,0,-1.264533686
1,0,0.4112383540820441
0,1,3.7864442790455155
0,0,2.3487010510419233
1,1,1.9798482801284734
1,0,-1.949015756
0,0,-0.463861496
1,1,0.41481781030400566
1,0,1.9232195877917613
1,0,-1.091288426
0,1,1.7148358725296187
0,0,1.1907946405752814
1,1,1.620284582362002
1,1,1.7410140763199808
0,1,4.992986919239829
1,0,-2.676154321
1,0,0.2124132322846306
1,1,-1.473481909
1,1,4.739498701353434
1,1,-4.413910813
1,0,2.5608606195789885
0,0,4.893465272628672
1,1,4.740896583888159
1,1,0.6065520879168189
1,1,-1.249389259
0,1,1.1435101300491948
0,0,-4.437394477
0,1,-3.561955681
0,0,0.9952620945137245
0,1,0.49705844092951035
0,0,1.4418372934321326
0,1,0.7120166103268781
0,1,-3.172799956
1,1,2.4392551359553867
1,1,6.368355176253819
1,1,4.207041895
0,1,-3.304727815
0,1,3.408063916235316
1,1,0.4996348525975101
1,1,2.9366806694676266
0,0,4.039799274006649
1,1,-1.156998605
0,0,1.4400270293878292
0,1,3.460805575658294
1,1,5.830803431390284
1,1,3.428252104579246
1,0,2.889545390321268
0,1,1.4231725751308923
0,0,1.6444650061673898
1,1,-1.697257024
0,0,4.556700696998993
0,0,1.145519680591658
1,1,0.850787801
0,0,5.332201734
1,1,1.0410486794815759
1,1,0.6970552575570856
0,1,0.47797259600447384
1,1,3.8457455391051623
0,1,0.9373791548743955
1,1,3.8052390010193453
1,1,-2.028861683
1,1,0.47561803456787255
0,0,-1.892654583
0,1,0.012083798826572512
1,0,-3.447547832
1,1,-1.120841589
1,1,4.3421917967930135
0,1,1.151584017863043
1,1,-1.496281601
1,1,-0.070081351
1,1,-0.430039596
0,1,0.079790307
1,1,0.5798576423450859
1,1,-1.549223336
1,0,0.073290192
1,1,1.9387888530829622
1,1,3.474658229497128
1,1,2.2334833261679217
1,0,0.6204842891534694
1,0,0.8454729941263182
1,1,-1.405217001
0,0,-3.926186696
0,1,1.2598431795868197
1,0,2.114837080643348
0,1,0.040670983215562284
1,1,2.245423199741036
0,0,2.764326787761438
1,0,-4.394745244
1,1,-2.083173206
0,1,1.3801517853447511
0,1,0.24275974250727048
1,1,0.1858857582155788
1,1,2.2609958022495285
0,0,-0.755210508
1,0,0.6632666440022951
1,0,1.5961013575484082
0,1,3.166555674
1,1,0.9541835953898817
0,1,-1.624887847
1,0,2.4824078204532842
1,1,2.6067035266984826
0,1,2.347929475585456
1,1,1.7562625099264453
1,1,-0.825478789
0,0,-0.55835011
0,1,1.0189698560810747
0,0,-1.936683353
1,1,-1.922576656
1,1,0.9104309673974231
0,0,1.6616761914769507
1,1,4.675068286927683
1,1,-3.340796029
0,0,-1.428783883
1,1,2.422461761377576
1,0,-1.464224635
1,1,0.7631129135506274
0,0,0.5740125676696093
0,1,-1.566723328
1,1,1.2629526564373488
1,1,1.7110141103456105
0,0,-5.263370259
0,0,-0.866054125
0,0,4.429822998112065
0,0,-2.747908923
1,1,-3.197448909
1,1,1.1507189308388917
0,1,3.900425224
0,1,1.104764413218715
1,0,-1.086497121
0,1,1.6451757159841283
1,1,-0.902862781
